Identificación;Profundidad;;Presión de Confinamiento;;Longitud;Diámetro;Vol. Total;Vol. Poroso;Vol. de Granos;Densidad de Granos;Porosidad;Permeabilidad Klinkenberg;;Permeabilidad al Aire;;b;Hi;RQI;Factor b;Alpha;Fecha
;(ft);(m);(psi);(MPa);(cm);(cm);(cm3);(cm3);(cm3);(g/cm3);(%);(md);(mm2);(md);(mm2);;;;(psi);micrones;
PLUG0008;8210.9;2502.7;2100;13.79;3.96;3.721;43.063;8.374;33.175;2.615;20.2;19;1.84E-02;23;2.24E-02;6.00E+08;1.39;0.3;10.14;3.70E+01;220727
PLUG0008;8210.9;2502.7;2400;15.168;3.96;3.721;43.063;8.332;33.175;2.615;20.1;18;1.83E-02;22;2.20E-02;7.00E+08;1.45;0.3;9.77;4.20E+01;220727
PLUG0009;8212.6;2503.2;800;5.516;4.182;3.693;44.795;10.786;32.93;2.63;24.7;224;2.21E-01;249;2.46E-01;3.80E+07;0.86;0.94;4.77;2.70E+01;220728
PLUG0009;8212.6;2503.2;1700;11.032;4.182;3.693;44.795;10.485;32.93;2.63;24.2;209;2.06E-01;234;2.31E-01;4.10E+07;0.86;0.92;5.02;2.70E+01;220728
PLUG0009;8212.6;2503.2;2100;13.79;4.182;3.693;44.795;10.412;32.93;2.63;24;205;2.03E-01;230;2.27E-01;4.20E+07;0.86;0.92;4.96;2.80E+01;220728
PLUG0009;8212.6;2503.2;2400;15.168;4.182;3.693;44.795;10.382;32.93;2.63;24;202;1.99E-01;227;2.24E-01;4.10E+07;0.85;0.91;5.26;2.70E+01;220728
PLUG0010;8144.5;2482.4;800;5.516;4.909;3.705;52.925;11.434;40.87;2.625;21.9;44;4.30E-02;50;4.97E-02;1.00E+08;0.85;0.44;7.07;1.40E+01;220729
PLUG0010;8144.5;2482.4;1700;11.032;4.909;3.705;52.925;11.049;40.87;2.625;21.3;40;3.92E-02;46;4.54E-02;1.20E+08;0.88;0.43;7.28;1.50E+01;220729
PLUG0010;8144.5;2482.4;2100;13.79;4.909;3.705;52.925;10.938;40.87;2.625;21.1;38;3.79E-02;45;4.41E-02;1.10E+08;0.84;0.42;7.43;1.40E+01;220729
PLUG0010;8144.5;2482.4;2400;15.168;4.909;3.705;52.925;10.94;40.87;2.625;21.2;37;3.77E-02;44;4.37E-02;1.30E+08;0.91;0.42;7.25;1.60E+01;220729
